measurement,stage,signal,occurrence,cycle_context,start,end,elapsed_s,actuator_on_s,complete
actuator_on,Burning,ms.process.burn,1,1.0,2026-09-25 12:27:05.619117+00:00,2026-09-25 12:27:10.422392+00:00,4.803275,4.803275,True
actuator_on,Burning,ms.process.burn,2,2.0,2026-09-25 12:27:51.421737+00:00,2026-09-25 12:27:56.370020+00:00,4.948283,4.948283,True
actuator_on,Burning,ms.process.burn,3,3.0,2026-09-25 12:28:39.454485+00:00,2026-09-25 12:28:43.589721+00:00,4.135236,4.135236,True
actuator_on,Burning,ms.process.burn,4,4.0,2026-09-25 12:29:21.764905+00:00,,,,False
actuator_on,Oven door,ms.valve.oven_door,1,,2026-09-25 12:27:01.389876+00:00,2026-09-25 12:27:04.336044+00:00,2.946168,2.946168,True
actuator_on,Oven door,ms.valve.oven_door,2,1.0,2026-09-25 12:27:10.426392+00:00,2026-09-25 12:27:11.884476+00:00,1.458084,1.458084,True
actuator_on,Oven door,ms.valve.oven_door,3,1.0,2026-09-25 12:27:47.380506+00:00,2026-09-25 12:27:51.425737+00:00,4.045231,4.045231,True
actuator_on,Oven door,ms.valve.oven_door,4,2.0,2026-09-25 12:27:56.377021+00:00,2026-09-25 12:27:58.548145+00:00,2.171124,2.171124,True
actuator_on,Oven door,ms.valve.oven_door,5,2.0,2026-09-25 12:28:34.604207+00:00,2026-09-25 12:28:38.556433+00:00,3.952226,3.952226,True
actuator_on,Oven door,ms.valve.oven_door,6,3.0,2026-09-25 12:28:43.593721+00:00,2026-09-25 12:28:46.185870+00:00,2.592149,2.592149,True
actuator_on,Oven door,ms.valve.oven_door,7,3.0,2026-09-25 12:29:16.804621+00:00,2026-09-25 12:29:20.290820+00:00,3.486199,3.486199,True
actuator_on,Oven slider out,ms.motor.slider_out,1,1.0,2026-09-25 12:27:10.418392+00:00,2026-09-25 12:27:11.877475+00:00,1.4590830000000001,1.4590830000000001,True
actuator_on,Oven slider out,ms.motor.slider_out,2,2.0,2026-09-25 12:27:57.312074+00:00,2026-09-25 12:27:58.540144+00:00,1.22807,1.22807,True
actuator_on,Oven slider out,ms.motor.slider_out,3,3.0,2026-09-25 12:28:44.290761+00:00,2026-09-25 12:28:46.178869+00:00,1.888108,1.888108,True
actuator_on,Transfer from oven,ms.motor.transfer_oven,1,1.0,2026-09-25 12:27:11.878475+00:00,2026-09-25 12:27:20.396963+00:00,8.518488,8.518488,True
actuator_on,Transfer from oven,ms.motor.transfer_oven,2,2.0,2026-09-25 12:27:58.542144+00:00,2026-09-25 12:28:07.659666+00:00,9.117522,9.117522,True
actuator_on,Transfer from oven,ms.motor.transfer_oven,3,3.0,2026-09-25 12:28:46.179869+00:00,2026-09-25 12:28:54.276332+00:00,8.096463,8.096463,True
actuator_on,Transfer to turntable,ms.motor.transfer_turntable,1,1.0,2026-09-25 12:27:21.471024+00:00,2026-09-25 12:27:29.262470+00:00,7.791446,7.791446,True
actuator_on,Transfer to turntable,ms.motor.transfer_turntable,2,2.0,2026-09-25 12:28:07.660666+00:00,2026-09-25 12:28:15.587119+00:00,7.926453,7.926453,True
actuator_on,Transfer to turntable,ms.motor.transfer_turntable,3,3.0,2026-09-25 12:28:55.460400+00:00,2026-09-25 12:29:03.452857+00:00,7.992457,7.992457,True
actuator_on,Turntable clockwise,ms.motor.turntable_cw,1,1.0,2026-09-25 12:27:31.470596+00:00,2026-09-25 12:27:33.383705+00:00,1.913109,1.913109,True
