snapshot_id,timestamp,good_count,bad_count,source_timestamp_count,server_timestamp_count,source_min_timestamp,source_max_timestamp,source_timestamp_reference,sync_spread_ms,connected,health
2,2026-09-25T11:02:22.427334+00:00,83,0,83,0,2026-09-25T12:31:27.814114+00:00,2026-09-25T12:31:27.902119+00:00,2026-09-25T12:31:27.902119+00:00,88.005,True,ok
5,2026-09-25T11:02:23.471421+00:00,83,0,83,0,2026-09-25T12:31:28.858174+00:00,2026-09-25T12:31:28.946179+00:00,2026-09-25T12:31:28.946179+00:00,88.005,True,ok
6,2026-09-25T11:02:23.824497+00:00,83,0,83,0,2026-09-25T12:31:29.200193+00:00,2026-09-25T12:31:29.291199+00:00,2026-09-25T12:31:29.291199+00:00,91.006,True,ok
7,2026-09-25T11:02:24.250629+00:00,83,0,83,0,2026-09-25T12:31:29.626218+00:00,2026-09-25T12:31:29.716223+00:00,2026-09-25T12:31:29.716223+00:00,90.005,True,ok
10,2026-09-25T11:02:25.395476+00:00,83,0,83,0,2026-09-25T12:31:30.779284+00:00,2026-09-25T12:31:30.869289+00:00,2026-09-25T12:31:30.869289+00:00,90.005,True,ok
12,2026-09-25T11:02:26.252162+00:00,83,0,83,0,2026-09-25T12:31:31.628332+00:00,2026-09-25T12:31:31.726338+00:00,2026-09-25T12:31:31.726338+00:00,98.006,True,ok
14,2026-09-25T11:02:27.190285+00:00,83,0,83,0,2026-09-25T12:31:32.381375+00:00,2026-09-25T12:31:32.558385+00:00,2026-09-25T12:31:32.558385+00:00,177.01,True,ok
17,2026-09-25T11:02:28.328177+00:00,83,0,83,0,2026-09-25T12:31:33.711451+00:00,2026-09-25T12:31:33.802457+00:00,2026-09-25T12:31:33.802457+00:00,91.006,True,ok
20,2026-09-25T11:02:29.372341+00:00,83,0,83,0,2026-09-25T12:31:34.757511+00:00,2026-09-25T12:31:34.846516+00:00,2026-09-25T12:31:34.846516+00:00,89.005,True,ok
22,2026-09-25T11:02:30.226523+00:00,83,0,83,0,2026-09-25T12:31:35.615560+00:00,2026-09-25T12:31:35.700565+00:00,2026-09-25T12:31:35.700565+00:00,85.005,True,ok
24,2026-09-25T11:02:31.006425+00:00,83,0,83,0,2026-09-25T12:31:36.359603+00:00,2026-09-25T12:31:36.474609+00:00,2026-09-25T12:31:36.474609+00:00,115.006,True,ok
25,2026-09-25T11:02:31.373596+00:00,83,0,83,0,2026-09-25T12:31:36.735624+00:00,2026-09-25T12:31:36.824630+00:00,2026-09-25T12:31:36.824630+00:00,89.006,True,ok
29,2026-09-25T11:02:32.860743+00:00,83,0,83,0,2026-09-25T12:31:38.245711+00:00,2026-09-25T12:31:38.334716+00:00,2026-09-25T12:31:38.334716+00:00,89.005,True,ok
30,2026-09-25T11:02:33.248905+00:00,83,0,83,0,2026-09-25T12:31:38.600731+00:00,2026-09-25T12:31:38.710737+00:00,2026-09-25T12:31:38.710737+00:00,110.006,True,ok
33,2026-09-25T11:02:34.395458+00:00,83,0,83,0,2026-09-25T12:31:39.768798+00:00,2026-09-25T12:31:39.867804+00:00,2026-09-25T12:31:39.867804+00:00,99.006,True,ok
