measurement,stage,signal,occurrence,cycle_context,start,end,elapsed_s,actuator_on_s,complete
actuator_on,Burning,ms.process.burn,1,1.0,2026-09-25 12:45:56.702812+00:00,2026-09-25 12:46:01.873107+00:00,5.170295,5.170295,True
actuator_on,Burning,ms.process.burn,2,2.0,2026-09-25 12:46:43.446485+00:00,2026-09-25 12:46:48.714787+00:00,5.268302,5.268302,True
actuator_on,Burning,ms.process.burn,3,3.0,2026-09-25 12:47:36.803537+00:00,2026-09-25 12:47:41.929830+00:00,5.126293,5.126293,True
actuator_on,Burning,ms.process.burn,4,4.0,2026-09-25 12:48:29.784568+00:00,2026-09-25 12:48:34.681848+00:00,4.89728,4.89728,True
actuator_on,Burning,ms.process.burn,5,5.0,2026-09-25 12:49:16.579244+00:00,2026-09-25 12:49:21.781542+00:00,5.202298,5.202298,True
actuator_on,Burning,ms.process.burn,6,6.0,2026-09-25 12:50:09.839290+00:00,,,,False
actuator_on,Oven door,ms.valve.oven_door,1,,2026-09-25 12:45:52.629579+00:00,2026-09-25 12:45:56.324790+00:00,3.695211,3.695211,True
actuator_on,Oven door,ms.valve.oven_door,2,1.0,2026-09-25 12:46:01.877108+00:00,2026-09-25 12:46:04.048232+00:00,2.171124,2.171124,True
actuator_on,Oven door,ms.valve.oven_door,3,1.0,2026-09-25 12:46:39.557263+00:00,2026-09-25 12:46:43.102466+00:00,3.545203,3.545203,True
actuator_on,Oven door,ms.valve.oven_door,4,2.0,2026-09-25 12:46:48.719787+00:00,2026-09-25 12:46:50.816907+00:00,2.09712,2.09712,True
actuator_on,Oven door,ms.valve.oven_door,5,2.0,2026-09-25 12:47:32.684302+00:00,2026-09-25 12:47:36.078496+00:00,3.394194,3.394194,True
actuator_on,Oven door,ms.valve.oven_door,6,3.0,2026-09-25 12:47:41.578810+00:00,2026-09-25 12:47:44.037951+00:00,2.459141,2.459141,True
actuator_on,Oven door,ms.valve.oven_door,7,3.0,2026-09-25 12:48:25.458320+00:00,2026-09-25 12:48:28.873515+00:00,3.4151949999999998,3.4151949999999998,True
actuator_on,Oven door,ms.valve.oven_door,8,4.0,2026-09-25 12:48:34.689848+00:00,2026-09-25 12:48:36.881973+00:00,2.192125,2.192125,True
actuator_on,Oven door,ms.valve.oven_door,9,4.0,2026-09-25 12:49:12.596016+00:00,2026-09-25 12:49:16.194222+00:00,3.5982060000000002,3.5982060000000002,True
actuator_on,Oven door,ms.valve.oven_door,10,5.0,2026-09-25 12:49:21.785542+00:00,2026-09-25 12:49:24.045671+00:00,2.260129,2.260129,True
