measurement,stage,signal,occurrence,cycle_context,start,end,elapsed_s,actuator_on_s,complete
actuator_on,Burning,ms.process.burn,1,1.0,2026-09-25 13:07:23.761427+00:00,2026-09-25 13:07:28.808716+00:00,5.047289,5.047289,True
actuator_on,Burning,ms.process.burn,2,2.0,2026-09-25 13:08:10.504101+00:00,2026-09-25 13:08:15.636394+00:00,5.132293,5.132293,True
actuator_on,Burning,ms.process.burn,3,3.0,2026-09-25 13:09:03.604138+00:00,2026-09-25 13:09:08.887440+00:00,5.283302,5.283302,True
actuator_on,Burning,ms.process.burn,4,4.0,2026-09-25 13:09:56.877185+00:00,2026-09-25 13:10:02.140486+00:00,5.263301,5.263301,True
actuator_on,Burning,ms.process.burn,5,5.0,2026-09-25 13:10:59.284755+00:00,2026-09-25 13:11:04.340044+00:00,5.055289,5.055289,True
actuator_on,Burning,ms.process.burn,6,6.0,2026-09-25 13:11:37.467938+00:00,2026-09-25 13:11:42.398220+00:00,4.930282,4.930282,True
actuator_on,Burning,ms.process.burn,7,7.0,2026-09-25 13:12:21.468455+00:00,,,,False
actuator_on,Oven door,ms.valve.oven_door,1,,2026-09-25 13:06:44.148162+00:00,2026-09-25 13:06:46.048270+00:00,1.900108,1.900108,True
actuator_on,Oven door,ms.valve.oven_door,2,,2026-09-25 13:07:19.542186+00:00,2026-09-25 13:07:23.385406+00:00,3.84322,3.84322,True
actuator_on,Oven door,ms.valve.oven_door,3,1.0,2026-09-25 13:07:28.812716+00:00,2026-09-25 13:07:30.939838+00:00,2.127122,2.127122,True
actuator_on,Oven door,ms.valve.oven_door,4,1.0,2026-09-25 13:08:06.274859+00:00,2026-09-25 13:08:10.164081+00:00,3.889222,3.889222,True
actuator_on,Oven door,ms.valve.oven_door,5,2.0,2026-09-25 13:08:15.644395+00:00,2026-09-25 13:08:17.628508+00:00,1.984113,1.984113,True
actuator_on,Oven door,ms.valve.oven_door,6,2.0,2026-09-25 13:08:59.755918+00:00,2026-09-25 13:09:03.253118+00:00,3.4972,3.4972,True
actuator_on,Oven door,ms.valve.oven_door,7,3.0,2026-09-25 13:09:08.891440+00:00,2026-09-25 13:09:10.894555+00:00,2.003115,2.003115,True
actuator_on,Oven door,ms.valve.oven_door,8,3.0,2026-09-25 13:09:52.713947+00:00,2026-09-25 13:09:56.534165+00:00,3.820218,3.820218,True
actuator_on,Oven door,ms.valve.oven_door,9,4.0,2026-09-25 13:10:02.144486+00:00,2026-09-25 13:10:04.126600+00:00,1.9821140000000002,1.9821140000000002,True
actuator_on,Oven door,ms.valve.oven_door,10,4.0,2026-09-25 13:10:54.939506+00:00,2026-09-25 13:10:58.799727+00:00,3.860221,3.860221,True
actuator_on,Oven door,ms.valve.oven_door,11,5.0,2026-09-25 13:11:04.333043+00:00,2026-09-25 13:11:06.441164+00:00,2.108121,2.108121,True
actuator_on,Oven door,ms.valve.oven_door,12,5.0,2026-09-25 13:11:33.689722+00:00,2026-09-25 13:11:37.110918+00:00,3.421196,3.421196,True
actuator_on,Oven door,ms.valve.oven_door,13,6.0,2026-09-25 13:11:42.391220+00:00,2026-09-25 13:11:44.908364+00:00,2.517144,2.517144,True
actuator_on,Oven door,ms.valve.oven_door,14,6.0,2026-09-25 13:12:17.405223+00:00,2026-09-25 13:12:21.100434+00:00,3.695211,3.695211,True
actuator_on,Oven slider out,ms.motor.slider_out,1,,2026-09-25 13:06:44.149162+00:00,2026-09-25 13:06:46.030269+00:00,1.881107,1.881107,True
actuator_on,Oven slider out,ms.motor.slider_out,2,1.0,2026-09-25 13:07:29.178737+00:00,2026-09-25 13:07:30.932837+00:00,1.7541,1.7541,True
actuator_on,Oven slider out,ms.motor.slider_out,3,2.0,2026-09-25 13:08:15.631394+00:00,2026-09-25 13:08:17.609507+00:00,1.978113,1.978113,True
actuator_on,Oven slider out,ms.motor.slider_out,4,3.0,2026-09-25 13:09:08.884440+00:00,2026-09-25 13:09:10.887555+00:00,2.003115,2.003115,True
actuator_on,Oven slider out,ms.motor.slider_out,5,4.0,2026-09-25 13:10:02.137486+00:00,2026-09-25 13:10:04.118599+00:00,1.9811130000000001,1.9811130000000001,True
actuator_on,Oven slider out,ms.motor.slider_out,6,5.0,2026-09-25 13:11:04.348044+00:00,2026-09-25 13:11:06.422163+00:00,2.074119,2.074119,True
actuator_on,Oven slider out,ms.motor.slider_out,7,6.0,2026-09-25 13:11:42.768242+00:00,2026-09-25 13:11:44.912364+00:00,2.144122,2.144122,True
