snapshot_id,timestamp,good_count,bad_count,source_timestamp_count,server_timestamp_count,source_min_timestamp,source_max_timestamp,source_timestamp_reference,sync_spread_ms,connected,health
1,2026-09-25T11:37:39.000783+00:00,83,0,83,0,2026-09-25T13:06:44.112159+00:00,2026-09-25T13:06:44.358174+00:00,2026-09-25T13:06:44.358174+00:00,246.01500000000001,True,ok
2,2026-09-25T11:37:39.339703+00:00,83,0,83,0,2026-09-25T13:06:44.611188+00:00,2026-09-25T13:06:44.697193+00:00,2026-09-25T13:06:44.697193+00:00,86.005,True,ok
3,2026-09-25T11:37:39.683988+00:00,83,0,83,0,2026-09-25T13:06:44.959208+00:00,2026-09-25T13:06:45.041213+00:00,2026-09-25T13:06:45.041213+00:00,82.005,True,ok
4,2026-09-25T11:37:40.022917+00:00,83,0,83,0,2026-09-25T13:06:45.295227+00:00,2026-09-25T13:06:45.380232+00:00,2026-09-25T13:06:45.380232+00:00,85.005,True,ok
5,2026-09-25T11:37:40.369071+00:00,83,0,83,0,2026-09-25T13:06:45.634247+00:00,2026-09-25T13:06:45.721252+00:00,2026-09-25T13:06:45.721252+00:00,87.005,True,ok
6,2026-09-25T11:37:40.751848+00:00,83,0,83,0,2026-09-25T13:06:46.024269+00:00,2026-09-25T13:06:46.109274+00:00,2026-09-25T13:06:46.109274+00:00,85.005,True,ok
7,2026-09-25T11:37:41.124867+00:00,83,0,83,0,2026-09-25T13:06:46.375289+00:00,2026-09-25T13:06:46.482295+00:00,2026-09-25T13:06:46.482295+00:00,107.006,True,ok
8,2026-09-25T11:37:41.485253+00:00,83,0,83,0,2026-09-25T13:06:46.737310+00:00,2026-09-25T13:06:46.841316+00:00,2026-09-25T13:06:46.841316+00:00,104.006,True,ok
9,2026-09-25T11:37:41.856093+00:00,83,0,83,0,2026-09-25T13:06:47.102330+00:00,2026-09-25T13:06:47.201336+00:00,2026-09-25T13:06:47.201336+00:00,99.006,True,ok
10,2026-09-25T11:37:42.339006+00:00,83,0,83,0,2026-09-25T13:06:47.595359+00:00,2026-09-25T13:06:47.687364+00:00,2026-09-25T13:06:47.687364+00:00,92.00500000000001,True,ok
11,2026-09-25T11:37:42.687459+00:00,83,0,83,0,2026-09-25T13:06:47.950379+00:00,2026-09-25T13:06:48.044384+00:00,2026-09-25T13:06:48.044384+00:00,94.00500000000001,True,ok
12,2026-09-25T11:37:43.038769+00:00,83,0,83,0,2026-09-25T13:06:48.299399+00:00,2026-09-25T13:06:48.395404+00:00,2026-09-25T13:06:48.395404+00:00,96.005,True,ok
13,2026-09-25T11:37:43.384900+00:00,83,0,83,0,2026-09-25T13:06:48.650419+00:00,2026-09-25T13:06:48.741424+00:00,2026-09-25T13:06:48.741424+00:00,91.005,True,ok
14,2026-09-25T11:37:43.772011+00:00,83,0,83,0,2026-09-25T13:06:49.009440+00:00,2026-09-25T13:06:49.100445+00:00,2026-09-25T13:06:49.100445+00:00,91.005,True,ok
15,2026-09-25T11:37:44.148521+00:00,83,0,83,0,2026-09-25T13:06:49.388461+00:00,2026-09-25T13:06:49.502468+00:00,2026-09-25T13:06:49.502468+00:00,114.00699999999999,True,ok
16,2026-09-25T11:37:44.625189+00:00,83,0,83,0,2026-09-25T13:06:49.879489+00:00,2026-09-25T13:06:49.971495+00:00,2026-09-25T13:06:49.971495+00:00,92.006,True,ok
17,2026-09-25T11:37:44.991190+00:00,83,0,83,0,2026-09-25T13:06:50.254511+00:00,2026-09-25T13:06:50.346516+00:00,2026-09-25T13:06:50.346516+00:00,92.00500000000001,True,ok
18,2026-09-25T11:37:45.344487+00:00,83,0,83,0,2026-09-25T13:06:50.601531+00:00,2026-09-25T13:06:50.687536+00:00,2026-09-25T13:06:50.687536+00:00,86.005,True,ok
19,2026-09-25T11:37:45.737395+00:00,83,0,83,0,2026-09-25T13:06:50.957551+00:00,2026-09-25T13:06:51.045556+00:00,2026-09-25T13:06:51.045556+00:00,88.005,True,ok
20,2026-09-25T11:37:46.086605+00:00,83,0,83,0,2026-09-25T13:06:51.348573+00:00,2026-09-25T13:06:51.443579+00:00,2026-09-25T13:06:51.443579+00:00,95.006,True,ok
21,2026-09-25T11:37:46.484730+00:00,83,0,83,0,2026-09-25T13:06:51.701594+00:00,2026-09-25T13:06:51.810600+00:00,2026-09-25T13:06:51.810600+00:00,109.006,True,ok
22,2026-09-25T11:37:46.855109+00:00,83,0,83,0,2026-09-25T13:06:52.095616+00:00,2026-09-25T13:06:52.190622+00:00,2026-09-25T13:06:52.190622+00:00,95.006,True,ok
23,2026-09-25T11:37:47.272967+00:00,83,0,83,0,2026-09-25T13:06:52.533641+00:00,2026-09-25T13:06:52.629647+00:00,2026-09-25T13:06:52.629647+00:00,96.006,True,ok
24,2026-09-25T11:37:47.680674+00:00,83,0,83,0,2026-09-25T13:06:52.897662+00:00,2026-09-25T13:06:53.008668+00:00,2026-09-25T13:06:53.008668+00:00,111.006,True,ok
25,2026-09-25T11:37:48.145732+00:00,83,0,83,0,2026-09-25T13:06:53.305685+00:00,2026-09-25T13:06:53.478695+00:00,2026-09-25T13:06:53.478695+00:00,173.01,True,ok
26,2026-09-25T11:37:48.605559+00:00,83,0,83,0,2026-09-25T13:06:53.760711+00:00,2026-09-25T13:06:53.948722+00:00,2026-09-25T13:06:53.948722+00:00,188.01100000000002,True,ok
27,2026-09-25T11:37:49.031102+00:00,83,0,83,0,2026-09-25T13:06:54.295742+00:00,2026-09-25T13:06:54.387747+00:00,2026-09-25T13:06:54.387747+00:00,92.00500000000001,True,ok
28,2026-09-25T11:37:49.394833+00:00,83,0,83,0,2026-09-25T13:06:54.641762+00:00,2026-09-25T13:06:54.733767+00:00,2026-09-25T13:06:54.733767+00:00,92.00500000000001,True,ok
29,2026-09-25T11:37:49.758782+00:00,83,0,83,0,2026-09-25T13:06:55.011783+00:00,2026-09-25T13:06:55.106788+00:00,2026-09-25T13:06:55.106788+00:00,95.00500000000001,True,ok
30,2026-09-25T11:37:50.185031+00:00,83,0,83,0,2026-09-25T13:06:55.445808+00:00,2026-09-25T13:06:55.541813+00:00,2026-09-25T13:06:55.541813+00:00,96.005,True,ok
31,2026-09-25T11:37:50.534208+00:00,83,0,83,0,2026-09-25T13:06:55.797828+00:00,2026-09-25T13:06:55.884833+00:00,2026-09-25T13:06:55.884833+00:00,87.005,True,ok
32,2026-09-25T11:37:50.963349+00:00,83,0,83,0,2026-09-25T13:06:56.227852+00:00,2026-09-25T13:06:56.319858+00:00,2026-09-25T13:06:56.319858+00:00,92.006,True,ok
33,2026-09-25T11:37:51.317426+00:00,83,0,83,0,2026-09-25T13:06:56.574872+00:00,2026-09-25T13:06:56.663877+00:00,2026-09-25T13:06:56.663877+00:00,89.005,True,ok
34,2026-09-25T11:37:51.694954+00:00,83,0,83,0,2026-09-25T13:06:56.930893+00:00,2026-09-25T13:06:57.031898+00:00,2026-09-25T13:06:57.031898+00:00,101.005,True,ok
35,2026-09-25T11:37:52.112215+00:00,83,0,83,0,2026-09-25T13:06:57.310914+00:00,2026-09-25T13:06:57.403920+00:00,2026-09-25T13:06:57.403920+00:00,93.006,True,ok
36,2026-09-25T11:37:52.466349+00:00,83,0,83,0,2026-09-25T13:06:57.725938+00:00,2026-09-25T13:06:57.815943+00:00,2026-09-25T13:06:57.815943+00:00,90.005,True,ok
37,2026-09-25T11:37:52.843922+00:00,83,0,83,0,2026-09-25T13:06:58.089959+00:00,2026-09-25T13:06:58.181964+00:00,2026-09-25T13:06:58.181964+00:00,92.00500000000001,True,ok
38,2026-09-25T11:37:53.216974+00:00,83,0,83,0,2026-09-25T13:06:58.486982+00:00,2026-09-25T13:06:58.572987+00:00,2026-09-25T13:06:58.572987+00:00,86.005,True,ok
39,2026-09-25T11:37:53.588457+00:00,83,0,83,0,2026-09-25T13:06:58.838002+00:00,2026-09-25T13:06:58.944008+00:00,2026-09-25T13:06:58.944008+00:00,106.006,True,ok
40,2026-09-25T11:37:54.040533+00:00,83,0,83,0,2026-09-25T13:06:59.199022+00:00,2026-09-25T13:06:59.292028+00:00,2026-09-25T13:06:59.292028+00:00,93.006,True,ok
41,2026-09-25T11:37:54.384901+00:00,83,0,83,0,2026-09-25T13:06:59.651048+00:00,2026-09-25T13:06:59.741053+00:00,2026-09-25T13:06:59.741053+00:00,90.005,True,ok
42,2026-09-25T11:37:54.766807+00:00,83,0,83,0,2026-09-25T13:07:00.006069+00:00,2026-09-25T13:07:00.112075+00:00,2026-09-25T13:07:00.112075+00:00,106.006,True,ok
43,2026-09-25T11:37:55.127207+00:00,83,0,83,0,2026-09-25T13:07:00.379090+00:00,2026-09-25T13:07:00.474095+00:00,2026-09-25T13:07:00.474095+00:00,95.00500000000001,True,ok
44,2026-09-25T11:37:55.472704+00:00,83,0,83,0,2026-09-25T13:07:00.738110+00:00,2026-09-25T13:07:00.828116+00:00,2026-09-25T13:07:00.828116+00:00,90.006,True,ok
45,2026-09-25T11:37:55.839170+00:00,83,0,83,0,2026-09-25T13:07:01.093131+00:00,2026-09-25T13:07:01.195137+00:00,2026-09-25T13:07:01.195137+00:00,102.006,True,ok
46,2026-09-25T11:37:56.185834+00:00,83,0,83,0,2026-09-25T13:07:01.451151+00:00,2026-09-25T13:07:01.541156+00:00,2026-09-25T13:07:01.541156+00:00,90.005,True,ok
47,2026-09-25T11:37:56.529937+00:00,83,0,83,0,2026-09-25T13:07:01.797171+00:00,2026-09-25T13:07:01.886176+00:00,2026-09-25T13:07:01.886176+00:00,89.005,True,ok
48,2026-09-25T11:37:56.882932+00:00,83,0,83,0,2026-09-25T13:07:02.141191+00:00,2026-09-25T13:07:02.238196+00:00,2026-09-25T13:07:02.238196+00:00,97.005,True,ok
49,2026-09-25T11:37:57.250957+00:00,83,0,83,0,2026-09-25T13:07:02.509212+00:00,2026-09-25T13:07:02.607217+00:00,2026-09-25T13:07:02.607217+00:00,98.005,True,ok
50,2026-09-25T11:37:57.623851+00:00,83,0,83,0,2026-09-25T13:07:02.866232+00:00,2026-09-25T13:07:02.968238+00:00,2026-09-25T13:07:02.968238+00:00,102.006,True,ok
51,2026-09-25T11:37:58.052902+00:00,83,0,83,0,2026-09-25T13:07:03.285256+00:00,2026-09-25T13:07:03.409263+00:00,2026-09-25T13:07:03.409263+00:00,124.007,True,ok
52,2026-09-25T11:37:58.517878+00:00,83,0,83,0,2026-09-25T13:07:03.665278+00:00,2026-09-25T13:07:03.849288+00:00,2026-09-25T13:07:03.849288+00:00,184.01000000000002,True,ok
53,2026-09-25T11:37:58.991673+00:00,83,0,83,0,2026-09-25T13:07:04.139305+00:00,2026-09-25T13:07:04.334316+00:00,2026-09-25T13:07:04.334316+00:00,195.011,True,ok
54,2026-09-25T11:37:59.410264+00:00,83,0,83,0,2026-09-25T13:07:04.672335+00:00,2026-09-25T13:07:04.766341+00:00,2026-09-25T13:07:04.766341+00:00,94.006,True,ok
55,2026-09-25T11:37:59.767390+00:00,83,0,83,0,2026-09-25T13:07:05.021355+00:00,2026-09-25T13:07:05.122361+00:00,2026-09-25T13:07:05.122361+00:00,101.006,True,ok
56,2026-09-25T11:38:00.202733+00:00,83,0,83,0,2026-09-25T13:07:05.377376+00:00,2026-09-25T13:07:05.469381+00:00,2026-09-25T13:07:05.469381+00:00,92.00500000000001,True,ok
57,2026-09-25T11:38:00.561916+00:00,83,0,83,0,2026-09-25T13:07:05.824401+00:00,2026-09-25T13:07:05.912406+00:00,2026-09-25T13:07:05.912406+00:00,88.005,True,ok
58,2026-09-25T11:38:00.921555+00:00,83,0,83,0,2026-09-25T13:07:06.188422+00:00,2026-09-25T13:07:06.277427+00:00,2026-09-25T13:07:06.277427+00:00,89.005,True,ok
59,2026-09-25T11:38:01.263507+00:00,83,0,83,0,2026-09-25T13:07:06.531442+00:00,2026-09-25T13:07:06.619447+00:00,2026-09-25T13:07:06.619447+00:00,88.005,True,ok
60,2026-09-25T11:38:01.610367+00:00,83,0,83,0,2026-09-25T13:07:06.873461+00:00,2026-09-25T13:07:06.961466+00:00,2026-09-25T13:07:06.961466+00:00,88.005,True,ok
61,2026-09-25T11:38:01.952480+00:00,83,0,83,0,2026-09-25T13:07:07.219481+00:00,2026-09-25T13:07:07.308486+00:00,2026-09-25T13:07:07.308486+00:00,89.005,True,ok
62,2026-09-25T11:38:02.300225+00:00,83,0,83,0,2026-09-25T13:07:07.562501+00:00,2026-09-25T13:07:07.654506+00:00,2026-09-25T13:07:07.654506+00:00,92.00500000000001,True,ok
