snapshot_id,timestamp,good_count,bad_count,source_timestamp_count,server_timestamp_count,source_min_timestamp,source_max_timestamp,source_timestamp_reference,sync_spread_ms,connected,health
1,2026-09-25T11:46:20.300268+00:00,83,0,83,0,2026-09-25T13:15:25.533983+00:00,2026-09-25T13:15:25.628989+00:00,2026-09-25T13:15:25.628989+00:00,95.006,True,ok
2,2026-09-25T11:46:20.652126+00:00,83,0,83,0,2026-09-25T13:15:25.884003+00:00,2026-09-25T13:15:25.977008+00:00,2026-09-25T13:15:25.977008+00:00,93.00500000000001,True,ok
3,2026-09-25T11:46:21.084071+00:00,83,0,83,0,2026-09-25T13:15:26.247024+00:00,2026-09-25T13:15:26.340029+00:00,2026-09-25T13:15:26.340029+00:00,93.00500000000001,True,ok
4,2026-09-25T11:46:21.435753+00:00,83,0,83,0,2026-09-25T13:15:26.667048+00:00,2026-09-25T13:15:26.764053+00:00,2026-09-25T13:15:26.764053+00:00,97.005,True,ok
5,2026-09-25T11:46:21.787769+00:00,83,0,83,0,2026-09-25T13:15:27.018068+00:00,2026-09-25T13:15:27.116074+00:00,2026-09-25T13:15:27.116074+00:00,98.006,True,ok
6,2026-09-25T11:46:22.164220+00:00,83,0,83,0,2026-09-25T13:15:27.375088+00:00,2026-09-25T13:15:27.480094+00:00,2026-09-25T13:15:27.480094+00:00,105.006,True,ok
7,2026-09-25T11:46:22.603046+00:00,83,0,83,0,2026-09-25T13:15:27.747110+00:00,2026-09-25T13:15:27.922120+00:00,2026-09-25T13:15:27.922120+00:00,175.01,True,ok
8,2026-09-25T11:46:23.071659+00:00,83,0,83,0,2026-09-25T13:15:28.187135+00:00,2026-09-25T13:15:28.311142+00:00,2026-09-25T13:15:28.311142+00:00,124.007,True,ok
9,2026-09-25T11:46:23.411554+00:00,83,0,83,0,2026-09-25T13:15:28.654162+00:00,2026-09-25T13:15:28.740166+00:00,2026-09-25T13:15:28.740166+00:00,86.00399999999999,True,ok
10,2026-09-25T11:46:23.781474+00:00,83,0,83,0,2026-09-25T13:15:28.993181+00:00,2026-09-25T13:15:29.107187+00:00,2026-09-25T13:15:29.107187+00:00,114.006,True,ok
11,2026-09-25T11:46:24.150714+00:00,83,0,83,0,2026-09-25T13:15:29.366202+00:00,2026-09-25T13:15:29.478209+00:00,2026-09-25T13:15:29.478209+00:00,112.00699999999999,True,ok
12,2026-09-25T11:46:24.498897+00:00,83,0,83,0,2026-09-25T13:15:29.734223+00:00,2026-09-25T13:15:29.827229+00:00,2026-09-25T13:15:29.827229+00:00,93.006,True,ok
13,2026-09-25T11:46:24.861495+00:00,83,0,83,0,2026-09-25T13:15:30.080243+00:00,2026-09-25T13:15:30.188249+00:00,2026-09-25T13:15:30.188249+00:00,108.006,True,ok
14,2026-09-25T11:46:25.202892+00:00,83,0,83,0,2026-09-25T13:15:30.443264+00:00,2026-09-25T13:15:30.531269+00:00,2026-09-25T13:15:30.531269+00:00,88.005,True,ok
15,2026-09-25T11:46:25.565814+00:00,83,0,83,0,2026-09-25T13:15:30.792284+00:00,2026-09-25T13:15:30.892290+00:00,2026-09-25T13:15:30.892290+00:00,100.006,True,ok
16,2026-09-25T11:46:25.932041+00:00,83,0,83,0,2026-09-25T13:15:31.148304+00:00,2026-09-25T13:15:31.247310+00:00,2026-09-25T13:15:31.247310+00:00,99.006,True,ok
17,2026-09-25T11:46:26.302577+00:00,83,0,83,0,2026-09-25T13:15:31.515325+00:00,2026-09-25T13:15:31.628332+00:00,2026-09-25T13:15:31.628332+00:00,113.00699999999999,True,ok
18,2026-09-25T11:46:26.672077+00:00,83,0,83,0,2026-09-25T13:15:31.885346+00:00,2026-09-25T13:15:31.983352+00:00,2026-09-25T13:15:31.983352+00:00,98.006,True,ok
19,2026-09-25T11:46:27.055380+00:00,83,0,83,0,2026-09-25T13:15:32.259368+00:00,2026-09-25T13:15:32.364374+00:00,2026-09-25T13:15:32.364374+00:00,105.006,True,ok
20,2026-09-25T11:46:27.498051+00:00,83,0,83,0,2026-09-25T13:15:32.648390+00:00,2026-09-25T13:15:32.747396+00:00,2026-09-25T13:15:32.747396+00:00,99.006,True,ok
21,2026-09-25T11:46:27.842217+00:00,83,0,83,0,2026-09-25T13:15:33.080415+00:00,2026-09-25T13:15:33.170420+00:00,2026-09-25T13:15:33.170420+00:00,90.005,True,ok
22,2026-09-25T11:46:28.188707+00:00,83,0,83,0,2026-09-25T13:15:33.426435+00:00,2026-09-25T13:15:33.516440+00:00,2026-09-25T13:15:33.516440+00:00,90.005,True,ok
23,2026-09-25T11:46:28.553882+00:00,83,0,83,0,2026-09-25T13:15:33.775454+00:00,2026-09-25T13:15:33.879460+00:00,2026-09-25T13:15:33.879460+00:00,104.006,True,ok
24,2026-09-25T11:46:28.910758+00:00,83,0,83,0,2026-09-25T13:15:34.138475+00:00,2026-09-25T13:15:34.231481+00:00,2026-09-25T13:15:34.231481+00:00,93.006,True,ok
25,2026-09-25T11:46:29.255374+00:00,83,0,83,0,2026-09-25T13:15:34.493496+00:00,2026-09-25T13:15:34.583501+00:00,2026-09-25T13:15:34.583501+00:00,90.005,True,ok
26,2026-09-25T11:46:29.628686+00:00,83,0,83,0,2026-09-25T13:15:34.838515+00:00,2026-09-25T13:15:34.929520+00:00,2026-09-25T13:15:34.929520+00:00,91.005,True,ok
27,2026-09-25T11:46:30.022393+00:00,83,0,83,0,2026-09-25T13:15:35.257539+00:00,2026-09-25T13:15:35.350545+00:00,2026-09-25T13:15:35.350545+00:00,93.006,True,ok
28,2026-09-25T11:46:30.369630+00:00,83,0,83,0,2026-09-25T13:15:35.605559+00:00,2026-09-25T13:15:35.695564+00:00,2026-09-25T13:15:35.695564+00:00,90.005,True,ok
29,2026-09-25T11:46:30.731839+00:00,83,0,83,0,2026-09-25T13:15:35.968580+00:00,2026-09-25T13:15:36.059585+00:00,2026-09-25T13:15:36.059585+00:00,91.005,True,ok
30,2026-09-25T11:46:31.079422+00:00,83,0,83,0,2026-09-25T13:15:36.314600+00:00,2026-09-25T13:15:36.407605+00:00,2026-09-25T13:15:36.407605+00:00,93.00500000000001,True,ok
31,2026-09-25T11:46:31.433557+00:00,83,0,83,0,2026-09-25T13:15:36.662620+00:00,2026-09-25T13:15:36.759625+00:00,2026-09-25T13:15:36.759625+00:00,97.005,True,ok
32,2026-09-25T11:46:31.807142+00:00,83,0,83,0,2026-09-25T13:15:37.018640+00:00,2026-09-25T13:15:37.119646+00:00,2026-09-25T13:15:37.119646+00:00,101.006,True,ok
33,2026-09-25T11:46:32.183297+00:00,83,0,83,0,2026-09-25T13:15:37.400662+00:00,2026-09-25T13:15:37.509668+00:00,2026-09-25T13:15:37.509668+00:00,109.006,True,ok
34,2026-09-25T11:46:32.611585+00:00,83,0,83,0,2026-09-25T13:15:37.765683+00:00,2026-09-25T13:15:37.923692+00:00,2026-09-25T13:15:37.923692+00:00,158.00900000000001,True,ok
35,2026-09-25T11:46:33.060764+00:00,83,0,83,0,2026-09-25T13:15:38.194707+00:00,2026-09-25T13:15:38.387718+00:00,2026-09-25T13:15:38.387718+00:00,193.011,True,ok
36,2026-09-25T11:46:33.414225+00:00,83,0,83,0,2026-09-25T13:15:38.642733+00:00,2026-09-25T13:15:38.729738+00:00,2026-09-25T13:15:38.729738+00:00,87.005,True,ok
37,2026-09-25T11:46:33.792974+00:00,83,0,83,0,2026-09-25T13:15:39.003754+00:00,2026-09-25T13:15:39.119760+00:00,2026-09-25T13:15:39.119760+00:00,116.006,True,ok
38,2026-09-25T11:46:34.141491+00:00,83,0,83,0,2026-09-25T13:15:39.374775+00:00,2026-09-25T13:15:39.467780+00:00,2026-09-25T13:15:39.467780+00:00,93.00500000000001,True,ok
39,2026-09-25T11:46:34.520158+00:00,83,0,83,0,2026-09-25T13:15:39.722795+00:00,2026-09-25T13:15:39.812800+00:00,2026-09-25T13:15:39.812800+00:00,90.005,True,ok
40,2026-09-25T11:46:34.866866+00:00,83,0,83,0,2026-09-25T13:15:40.102816+00:00,2026-09-25T13:15:40.193822+00:00,2026-09-25T13:15:40.193822+00:00,91.006,True,ok
41,2026-09-25T11:46:35.212033+00:00,83,0,83,0,2026-09-25T13:15:40.448836+00:00,2026-09-25T13:15:40.539841+00:00,2026-09-25T13:15:40.539841+00:00,91.005,True,ok
42,2026-09-25T11:46:35.565094+00:00,83,0,83,0,2026-09-25T13:15:40.793856+00:00,2026-09-25T13:15:40.880861+00:00,2026-09-25T13:15:40.880861+00:00,87.005,True,ok
43,2026-09-25T11:46:36.024469+00:00,83,0,83,0,2026-09-25T13:15:41.254882+00:00,2026-09-25T13:15:41.351888+00:00,2026-09-25T13:15:41.351888+00:00,97.006,True,ok
44,2026-09-25T11:46:36.370876+00:00,83,0,83,0,2026-09-25T13:15:41.606902+00:00,2026-09-25T13:15:41.697908+00:00,2026-09-25T13:15:41.697908+00:00,91.006,True,ok
45,2026-09-25T11:46:36.724375+00:00,83,0,83,0,2026-09-25T13:15:41.951922+00:00,2026-09-25T13:15:42.046928+00:00,2026-09-25T13:15:42.046928+00:00,95.006,True,ok
46,2026-09-25T11:46:37.098970+00:00,83,0,83,0,2026-09-25T13:15:42.306942+00:00,2026-09-25T13:15:42.402948+00:00,2026-09-25T13:15:42.402948+00:00,96.006,True,ok
47,2026-09-25T11:46:37.528335+00:00,83,0,83,0,2026-09-25T13:15:42.771969+00:00,2026-09-25T13:15:42.855974+00:00,2026-09-25T13:15:42.855974+00:00,84.005,True,ok
48,2026-09-25T11:46:37.879179+00:00,83,0,83,0,2026-09-25T13:15:43.109988+00:00,2026-09-25T13:15:43.202994+00:00,2026-09-25T13:15:43.202994+00:00,93.006,True,ok
49,2026-09-25T11:46:38.228509+00:00,83,0,83,0,2026-09-25T13:15:43.461008+00:00,2026-09-25T13:15:43.555014+00:00,2026-09-25T13:15:43.555014+00:00,94.006,True,ok
50,2026-09-25T11:46:38.611011+00:00,83,0,83,0,2026-09-25T13:15:43.813029+00:00,2026-09-25T13:15:43.918035+00:00,2026-09-25T13:15:43.918035+00:00,105.006,True,ok
51,2026-09-25T11:46:38.984249+00:00,83,0,83,0,2026-09-25T13:15:44.193050+00:00,2026-09-25T13:15:44.298056+00:00,2026-09-25T13:15:44.298056+00:00,105.006,True,ok
52,2026-09-25T11:46:39.331168+00:00,83,0,83,0,2026-09-25T13:15:44.566072+00:00,2026-09-25T13:15:44.657077+00:00,2026-09-25T13:15:44.657077+00:00,91.005,True,ok
53,2026-09-25T11:46:39.719770+00:00,83,0,83,0,2026-09-25T13:15:44.914092+00:00,2026-09-25T13:15:45.006097+00:00,2026-09-25T13:15:45.006097+00:00,92.00500000000001,True,ok
54,2026-09-25T11:46:40.112756+00:00,83,0,83,0,2026-09-25T13:15:45.347116+00:00,2026-09-25T13:15:45.440122+00:00,2026-09-25T13:15:45.440122+00:00,93.006,True,ok
55,2026-09-25T11:46:40.497963+00:00,83,0,83,0,2026-09-25T13:15:45.729138+00:00,2026-09-25T13:15:45.818143+00:00,2026-09-25T13:15:45.818143+00:00,89.005,True,ok
56,2026-09-25T11:46:40.877037+00:00,83,0,83,0,2026-09-25T13:15:46.084158+00:00,2026-09-25T13:15:46.176164+00:00,2026-09-25T13:15:46.176164+00:00,92.006,True,ok
57,2026-09-25T11:46:41.263696+00:00,83,0,83,0,2026-09-25T13:15:46.459180+00:00,2026-09-25T13:15:46.586187+00:00,2026-09-25T13:15:46.586187+00:00,127.007,True,ok
58,2026-09-25T11:46:41.620402+00:00,83,0,83,0,2026-09-25T13:15:46.846202+00:00,2026-09-25T13:15:46.939207+00:00,2026-09-25T13:15:46.939207+00:00,93.00500000000001,True,ok
