snapshot_id,timestamp,good_count,bad_count,source_timestamp_count,server_timestamp_count,source_min_timestamp,source_max_timestamp,source_timestamp_reference,sync_spread_ms,connected,health
1,2026-09-25T13:29:21.692693+00:00,83,0,83,0,2026-09-25T14:58:26.600520+00:00,2026-09-25T14:58:26.690525+00:00,2026-09-25T14:58:26.690525+00:00,90.005,True,ok
2,2026-09-25T13:29:22.041447+00:00,83,0,83,0,2026-09-25T14:58:26.945540+00:00,2026-09-25T14:58:27.039545+00:00,2026-09-25T14:58:27.039545+00:00,94.00500000000001,True,ok
3,2026-09-25T13:29:22.387711+00:00,83,0,83,0,2026-09-25T14:58:27.294560+00:00,2026-09-25T14:58:27.384565+00:00,2026-09-25T14:58:27.384565+00:00,90.005,True,ok
4,2026-09-25T13:29:22.752469+00:00,83,0,83,0,2026-09-25T14:58:27.646580+00:00,2026-09-25T14:58:27.750586+00:00,2026-09-25T14:58:27.750586+00:00,104.006,True,ok
5,2026-09-25T13:29:23.101898+00:00,83,0,83,0,2026-09-25T14:58:28.006600+00:00,2026-09-25T14:58:28.099606+00:00,2026-09-25T14:58:28.099606+00:00,93.006,True,ok
6,2026-09-25T13:29:23.447720+00:00,83,0,83,0,2026-09-25T14:58:28.354620+00:00,2026-09-25T14:58:28.445625+00:00,2026-09-25T14:58:28.445625+00:00,91.005,True,ok
7,2026-09-25T13:29:23.791491+00:00,83,0,83,0,2026-09-25T14:58:28.699640+00:00,2026-09-25T14:58:28.789645+00:00,2026-09-25T14:58:28.789645+00:00,90.005,True,ok
8,2026-09-25T13:29:24.141167+00:00,83,0,83,0,2026-09-25T14:58:29.044660+00:00,2026-09-25T14:58:29.138665+00:00,2026-09-25T14:58:29.138665+00:00,94.00500000000001,True,ok
9,2026-09-25T13:29:24.538483+00:00,83,0,83,0,2026-09-25T14:58:29.415681+00:00,2026-09-25T14:58:29.529687+00:00,2026-09-25T14:58:29.529687+00:00,114.006,True,ok
10,2026-09-25T13:29:24.894884+00:00,83,0,83,0,2026-09-25T14:58:29.792702+00:00,2026-09-25T14:58:29.886708+00:00,2026-09-25T14:58:29.886708+00:00,94.006,True,ok
11,2026-09-25T13:29:25.270441+00:00,83,0,83,0,2026-09-25T14:58:30.153723+00:00,2026-09-25T14:58:30.246728+00:00,2026-09-25T14:58:30.246728+00:00,93.00500000000001,True,ok
12,2026-09-25T13:29:25.719844+00:00,83,0,83,0,2026-09-25T14:58:30.618750+00:00,2026-09-25T14:58:30.717755+00:00,2026-09-25T14:58:30.717755+00:00,99.005,True,ok
13,2026-09-25T13:29:26.131711+00:00,83,0,83,0,2026-09-25T14:58:31.031773+00:00,2026-09-25T14:58:31.129779+00:00,2026-09-25T14:58:31.129779+00:00,98.006,True,ok
14,2026-09-25T13:29:26.565402+00:00,83,0,83,0,2026-09-25T14:58:31.384794+00:00,2026-09-25T14:58:31.561804+00:00,2026-09-25T14:58:31.561804+00:00,177.01,True,ok
15,2026-09-25T13:29:27.020252+00:00,83,0,83,0,2026-09-25T14:58:31.831819+00:00,2026-09-25T14:58:32.012829+00:00,2026-09-25T14:58:32.012829+00:00,181.01,True,ok
16,2026-09-25T13:29:27.482219+00:00,83,0,83,0,2026-09-25T14:58:32.384851+00:00,2026-09-25T14:58:32.479856+00:00,2026-09-25T14:58:32.479856+00:00,95.00500000000001,True,ok
17,2026-09-25T13:29:27.838146+00:00,83,0,83,0,2026-09-25T14:58:32.734871+00:00,2026-09-25T14:58:32.833876+00:00,2026-09-25T14:58:32.833876+00:00,99.005,True,ok
18,2026-09-25T13:29:28.194672+00:00,83,0,83,0,2026-09-25T14:58:33.089891+00:00,2026-09-25T14:58:33.184896+00:00,2026-09-25T14:58:33.184896+00:00,95.00500000000001,True,ok
19,2026-09-25T13:29:28.613149+00:00,83,0,83,0,2026-09-25T14:58:33.523916+00:00,2026-09-25T14:58:33.610921+00:00,2026-09-25T14:58:33.610921+00:00,87.005,True,ok
20,2026-09-25T13:29:28.994762+00:00,83,0,83,0,2026-09-25T14:58:33.867936+00:00,2026-09-25T14:58:33.984942+00:00,2026-09-25T14:58:33.984942+00:00,117.006,True,ok
21,2026-09-25T13:29:29.342287+00:00,83,0,83,0,2026-09-25T14:58:34.245957+00:00,2026-09-25T14:58:34.339963+00:00,2026-09-25T14:58:34.339963+00:00,94.006,True,ok
22,2026-09-25T13:29:29.700304+00:00,83,0,83,0,2026-09-25T14:58:34.598977+00:00,2026-09-25T14:58:34.697983+00:00,2026-09-25T14:58:34.697983+00:00,99.006,True,ok
23,2026-09-25T13:29:30.128785+00:00,83,0,83,0,2026-09-25T14:58:34.957998+00:00,2026-09-25T14:58:35.075005+00:00,2026-09-25T14:58:35.075005+00:00,117.007,True,ok
