measurement,stage,signal,occurrence,cycle_context,start,end,elapsed_s,actuator_on_s,complete
actuator_on,Baking,ms.process.burn,1,1.0,2026-09-25 15:03:13.216913+00:00,2026-09-25 15:03:17.866179+00:00,4.649266,4.649266,True
actuator_on,Baking,ms.process.burn,2,2.0,2026-09-25 15:03:56.605395+00:00,2026-09-25 15:04:01.781691+00:00,5.176296,5.176296,True
actuator_on,Baking,ms.process.burn,3,3.0,2026-09-25 15:04:54.644715+00:00,2026-09-25 15:04:59.733006+00:00,5.088291,5.088291,True
actuator_on,Baking,ms.process.burn,4,4.0,2026-09-25 15:05:47.822756+00:00,2026-09-25 15:05:52.926048+00:00,5.103292,5.103292,True
actuator_on,Baking,ms.process.burn,5,5.0,2026-09-25 15:06:34.523427+00:00,2026-09-25 15:06:39.286700+00:00,4.763273,4.763273,True
actuator_on,Baking,ms.process.burn,6,6.0,2026-09-25 15:07:27.449455+00:00,2026-09-25 15:07:32.554747+00:00,5.105292,5.105292,True
actuator_on,Oven door,ms.valve.oven_door,1,,2026-09-25 15:03:08.960670+00:00,2026-09-25 15:03:12.411867+00:00,3.451197,3.451197,True
actuator_on,Oven door,ms.valve.oven_door,2,1.0,2026-09-25 15:03:17.870180+00:00,2026-09-25 15:03:20.396324+00:00,2.526144,2.526144,True
actuator_on,Oven door,ms.valve.oven_door,3,1.0,2026-09-25 15:03:52.617167+00:00,2026-09-25 15:03:56.184371+00:00,3.5672040000000003,3.5672040000000003,True
actuator_on,Oven door,ms.valve.oven_door,4,2.0,2026-09-25 15:04:01.796692+00:00,2026-09-25 15:04:04.115825+00:00,2.319133,2.319133,True
actuator_on,Oven door,ms.valve.oven_door,5,2.0,2026-09-25 15:04:50.694489+00:00,2026-09-25 15:04:53.932674+00:00,3.238185,3.238185,True
actuator_on,Oven door,ms.valve.oven_door,6,3.0,2026-09-25 15:04:59.737006+00:00,2026-09-25 15:05:01.768122+00:00,2.031116,2.031116,True
actuator_on,Oven door,ms.valve.oven_door,7,3.0,2026-09-25 15:05:43.687520+00:00,2026-09-25 15:05:47.112716+00:00,3.425196,3.425196,True
actuator_on,Oven door,ms.valve.oven_door,8,4.0,2026-09-25 15:05:52.536026+00:00,2026-09-25 15:05:54.919162+00:00,2.383136,2.383136,True
actuator_on,Oven door,ms.valve.oven_door,9,4.0,2026-09-25 15:06:30.195180+00:00,2026-09-25 15:06:33.759384+00:00,3.564204,3.564204,True
actuator_on,Oven door,ms.valve.oven_door,10,5.0,2026-09-25 15:06:39.290700+00:00,2026-09-25 15:06:41.818845+00:00,2.528145,2.528145,True
actuator_on,Oven door,ms.valve.oven_door,11,5.0,2026-09-25 15:07:23.611235+00:00,2026-09-25 15:07:27.069433+00:00,3.458198,3.458198,True
actuator_on,Oven door,ms.valve.oven_door,12,6.0,2026-09-25 15:07:32.547746+00:00,2026-09-25 15:07:34.603864+00:00,2.056118,2.056118,True
actuator_on,Oven unloading,ms.motor.slider_out,1,1.0,2026-09-25 15:03:18.218199+00:00,2026-09-25 15:03:20.400324+00:00,2.182125,2.182125,True
actuator_on,Oven unloading,ms.motor.slider_out,2,2.0,2026-09-25 15:04:01.789692+00:00,2026-09-25 15:04:04.108824+00:00,2.319132,2.319132,True
actuator_on,Oven unloading,ms.motor.slider_out,3,3.0,2026-09-25 15:04:59.730006+00:00,2026-09-25 15:05:01.750121+00:00,2.020115,2.020115,True
actuator_on,Oven unloading,ms.motor.slider_out,4,4.0,2026-09-25 15:05:52.923048+00:00,2026-09-25 15:05:54.912162+00:00,1.989114,1.989114,True
actuator_on,Oven unloading,ms.motor.slider_out,5,5.0,2026-09-25 15:06:39.676722+00:00,2026-09-25 15:06:41.811844+00:00,2.135122,2.135122,True
actuator_on,Oven unloading,ms.motor.slider_out,6,6.0,2026-09-25 15:07:32.551746+00:00,2026-09-25 15:07:34.596863+00:00,2.045117,2.045117,True
actuator_on,Unload from oven,ms.motor.transfer_oven,1,1.0,2026-09-25 15:03:20.076306+00:00,2026-09-25 15:03:28.526789+00:00,8.450483,8.450483,True
actuator_on,Unload from oven,ms.motor.transfer_oven,2,2.0,2026-09-25 15:04:04.097824+00:00,2026-09-25 15:04:12.143284+00:00,8.04546,8.04546,True
actuator_on,Unload from oven,ms.motor.transfer_oven,3,3.0,2026-09-25 15:05:01.751121+00:00,2026-09-25 15:05:09.882586+00:00,8.131465,8.131465,True
actuator_on,Unload from oven,ms.motor.transfer_oven,4,4.0,2026-09-25 15:05:54.913162+00:00,2026-09-25 15:06:03.062628+00:00,8.149466,8.149466,True
actuator_on,Unload from oven,ms.motor.transfer_oven,5,5.0,2026-09-25 15:06:41.812844+00:00,2026-09-25 15:06:49.816302+00:00,8.003458,8.003458,True
actuator_on,Unload from oven,ms.motor.transfer_oven,6,6.0,2026-09-25 15:07:34.597864+00:00,2026-09-25 15:07:43.007345+00:00,8.409481,8.409481,True
actuator_on,Position for finishing,ms.motor.transfer_turntable,1,1.0,2026-09-25 15:03:29.335835+00:00,2026-09-25 15:03:37.539305+00:00,8.20347,8.20347,True
actuator_on,Position for finishing,ms.motor.transfer_turntable,2,2.0,2026-09-25 15:04:12.873326+00:00,2026-09-25 15:04:21.118797+00:00,8.245471,8.245471,True
actuator_on,Position for finishing,ms.motor.transfer_turntable,3,3.0,2026-09-25 15:05:11.065654+00:00,2026-09-25 15:05:19.047110+00:00,7.981456,7.981456,True
actuator_on,Position for finishing,ms.motor.transfer_turntable,4,4.0,2026-09-25 15:06:03.918677+00:00,2026-09-25 15:06:12.192150+00:00,8.273473,8.273473,True
actuator_on,Position for finishing,ms.motor.transfer_turntable,5,5.0,2026-09-25 15:06:50.568345+00:00,2026-09-25 15:06:58.826818+00:00,8.258473,8.258473,True
actuator_on,Position for finishing,ms.motor.transfer_turntable,6,6.0,2026-09-25 15:07:43.816391+00:00,2026-09-25 15:07:51.984858+00:00,8.168467,8.168467,True
actuator_on,Finishing turntable,ms.motor.turntable_cw,1,1.0,2026-09-25 15:03:39.863437+00:00,2026-09-25 15:03:41.352523+00:00,1.489086,1.489086,True
actuator_on,Finishing turntable,ms.motor.turntable_cw,2,1.0,2026-09-25 15:03:42.706600+00:00,2026-09-25 15:03:43.559649+00:00,0.853049,0.853049,True
actuator_on,Finishing turntable,ms.motor.turntable_cw,3,2.0,2026-09-25 15:04:23.611940+00:00,2026-09-25 15:04:24.803008+00:00,1.191068,1.191068,True
actuator_on,Finishing turntable,ms.motor.turntable_cw,4,2.0,2026-09-25 15:04:26.285093+00:00,2026-09-25 15:04:27.149142+00:00,0.864049,0.864049,True
actuator_on,Finishing turntable,ms.motor.turntable_cw,5,3.0,2026-09-25 15:05:21.697262+00:00,2026-09-25 15:05:22.836327+00:00,1.139065,1.139065,True
actuator_on,Finishing turntable,ms.motor.turntable_cw,6,3.0,2026-09-25 15:05:24.456420+00:00,2026-09-25 15:05:24.846442+00:00,0.390022,0.390022,True
actuator_on,Finishing turntable,ms.motor.turntable_cw,7,4.0,2026-09-25 15:06:14.777298+00:00,2026-09-25 15:06:15.927364+00:00,1.150066,1.150066,True
actuator_on,Finishing turntable,ms.motor.turntable_cw,8,4.0,2026-09-25 15:06:17.322444+00:00,2026-09-25 15:06:18.071486+00:00,0.749042,0.749042,True
actuator_on,Finishing turntable,ms.motor.turntable_cw,9,5.0,2026-09-25 15:07:01.311960+00:00,2026-09-25 15:07:02.530029+00:00,1.218069,1.218069,True
actuator_on,Finishing turntable,ms.motor.turntable_cw,10,5.0,2026-09-25 15:07:04.188124+00:00,2026-09-25 15:07:04.581147+00:00,0.393023,0.393023,True
actuator_on,Finishing turntable,ms.motor.turntable_cw,11,6.0,2026-09-25 15:07:54.446999+00:00,2026-09-25 15:07:55.634067+00:00,1.187068,1.187068,True
actuator_on,Finishing turntable,ms.motor.turntable_cw,12,6.0,2026-09-25 15:07:57.139153+00:00,2026-09-25 15:07:57.946199+00:00,0.807046,0.807046,True
actuator_on,Cake finishing,ms.motor.saw,1,1.0,2026-09-25 15:03:41.366523+00:00,2026-09-25 15:03:42.709600+00:00,1.343077,1.343077,True
actuator_on,Cake finishing,ms.motor.saw,2,2.0,2026-09-25 15:04:24.807008+00:00,2026-09-25 15:04:26.288093+00:00,1.481085,1.481085,True
actuator_on,Cake finishing,ms.motor.saw,3,3.0,2026-09-25 15:05:22.839327+00:00,2026-09-25 15:05:24.470421+00:00,1.631094,1.631094,True
actuator_on,Cake finishing,ms.motor.saw,4,4.0,2026-09-25 15:06:15.930364+00:00,2026-09-25 15:06:17.325444+00:00,1.39508,1.39508,True
actuator_on,Cake finishing,ms.motor.saw,5,5.0,2026-09-25 15:07:02.533030+00:00,2026-09-25 15:07:04.191124+00:00,1.658094,1.658094,True
actuator_on,Cake finishing,ms.motor.saw,6,6.0,2026-09-25 15:07:55.637067+00:00,2026-09-25 15:07:57.142153+00:00,1.505086,1.505086,True
actuator_on,MS conveyor,ms.motor.conveyor,1,1.0,2026-09-25 15:03:44.334693+00:00,2026-09-25 15:03:50.068021+00:00,5.733328,5.733328,True
actuator_on,MS conveyor,ms.motor.conveyor,2,2.0,2026-09-25 15:04:27.866183+00:00,2026-09-25 15:04:30.444331+00:00,2.578148,2.578148,True
actuator_on,MS conveyor,ms.motor.conveyor,3,3.0,2026-09-25 15:05:25.594485+00:00,2026-09-25 15:05:27.669604+00:00,2.075119,2.075119,True
actuator_on,MS conveyor,ms.motor.conveyor,4,4.0,2026-09-25 15:06:18.863532+00:00,2026-09-25 15:06:20.867646+00:00,2.004114,2.004114,True
actuator_on,MS conveyor,ms.motor.conveyor,5,5.0,2026-09-25 15:07:05.385193+00:00,2026-09-25 15:07:07.593319+00:00,2.208126,2.208126,True
actuator_on,MS conveyor,ms.motor.conveyor,6,6.0,2026-09-25 15:07:58.700242+00:00,2026-09-25 15:08:00.588350+00:00,1.888108,1.888108,True
actuator_on,Sorting conveyor,sl.motor.conveyor,1,1.0,2026-09-25 15:03:44.049677+00:00,2026-09-25 15:03:53.706229+00:00,9.656552,9.656552,True
actuator_on,Sorting conveyor,sl.motor.conveyor,2,2.0,2026-09-25 15:04:27.930187+00:00,2026-09-25 15:04:34.148542+00:00,6.218355,6.218355,True
actuator_on,Sorting conveyor,sl.motor.conveyor,3,3.0,2026-09-25 15:05:25.660489+00:00,2026-09-25 15:05:33.192920+00:00,7.532431,7.532431,True
actuator_on,Sorting conveyor,sl.motor.conveyor,4,4.0,2026-09-25 15:06:18.930536+00:00,2026-09-25 15:06:25.787928+00:00,6.857392,6.857392,True
actuator_on,Sorting conveyor,sl.motor.conveyor,5,5.0,2026-09-25 15:07:05.449196+00:00,2026-09-25 15:07:13.102634+00:00,7.6534379999999995,7.6534379999999995,True
actuator_on,Sorting conveyor,sl.motor.conveyor,6,6.0,2026-09-25 15:07:58.394225+00:00,,,,False
actuator_on,Sorting white,sl.valve.white,1,1.0,2026-09-25 15:03:53.708229+00:00,2026-09-25 15:03:54.095252+00:00,0.387023,0.387023,True
actuator_on,Sorting white,sl.valve.white,2,2.0,2026-09-25 15:04:34.151543+00:00,2026-09-25 15:04:34.511563+00:00,0.36002,0.36002,True
actuator_on,Sorting red,sl.valve.red,1,4.0,2026-09-25 15:06:25.790928+00:00,2026-09-25 15:06:26.186951+00:00,0.396023,0.396023,True
actuator_on,Sorting blue,sl.valve.blue,1,3.0,2026-09-25 15:05:33.196920+00:00,2026-09-25 15:05:33.544940+00:00,0.34802,0.34802,True
actuator_on,Sorting blue,sl.valve.blue,2,5.0,2026-09-25 15:07:13.106634+00:00,2026-09-25 15:07:13.553660+00:00,0.447026,0.447026,True
