snapshot_id,timestamp,good_count,bad_count,source_timestamp_count,server_timestamp_count,source_min_timestamp,source_max_timestamp,source_timestamp_reference,sync_spread_ms,connected,health
1,2026-09-25T13:39:38.152300+00:00,83,0,83,0,2026-09-25T15:08:43.024777+00:00,2026-09-25T15:08:43.116783+00:00,2026-09-25T15:08:43.116783+00:00,92.006,True,ok
2,2026-09-25T13:39:38.501604+00:00,83,0,83,0,2026-09-25T15:08:43.372797+00:00,2026-09-25T15:08:43.465803+00:00,2026-09-25T15:08:43.465803+00:00,93.006,True,ok
3,2026-09-25T13:39:38.967400+00:00,83,0,83,0,2026-09-25T15:08:43.753819+00:00,2026-09-25T15:08:43.931829+00:00,2026-09-25T15:08:43.931829+00:00,178.01,True,ok
4,2026-09-25T13:39:39.374735+00:00,83,0,83,0,2026-09-25T15:08:44.220846+00:00,2026-09-25T15:08:44.338852+00:00,2026-09-25T15:08:44.338852+00:00,118.006,True,ok
5,2026-09-25T13:39:39.742929+00:00,83,0,83,0,2026-09-25T15:08:44.595867+00:00,2026-09-25T15:08:44.701873+00:00,2026-09-25T15:08:44.701873+00:00,106.006,True,ok
6,2026-09-25T13:39:40.112017+00:00,83,0,83,0,2026-09-25T15:08:44.969889+00:00,2026-09-25T15:08:45.055893+00:00,2026-09-25T15:08:45.055893+00:00,86.00399999999999,True,ok
7,2026-09-25T13:39:40.545990+00:00,83,0,83,0,2026-09-25T15:08:45.419914+00:00,2026-09-25T15:08:45.509919+00:00,2026-09-25T15:08:45.509919+00:00,90.005,True,ok
8,2026-09-25T13:39:40.920535+00:00,83,0,83,0,2026-09-25T15:08:45.780935+00:00,2026-09-25T15:08:45.864940+00:00,2026-09-25T15:08:45.864940+00:00,84.005,True,ok
9,2026-09-25T13:39:41.336793+00:00,83,0,83,0,2026-09-25T15:08:46.164957+00:00,2026-09-25T15:08:46.300965+00:00,2026-09-25T15:08:46.300965+00:00,136.00799999999998,True,ok
10,2026-09-25T13:39:41.708293+00:00,83,0,83,0,2026-09-25T15:08:46.575980+00:00,2026-09-25T15:08:46.668986+00:00,2026-09-25T15:08:46.668986+00:00,93.006,True,ok
11,2026-09-25T13:39:42.139911+00:00,83,0,83,0,2026-09-25T15:08:46.955002+00:00,2026-09-25T15:08:47.041007+00:00,2026-09-25T15:08:47.041007+00:00,86.005,True,ok
12,2026-09-25T13:39:42.481484+00:00,83,0,83,0,2026-09-25T15:08:47.358025+00:00,2026-09-25T15:08:47.443030+00:00,2026-09-25T15:08:47.443030+00:00,85.005,True,ok
13,2026-09-25T13:39:42.854429+00:00,83,0,83,0,2026-09-25T15:08:47.702045+00:00,2026-09-25T15:08:47.811051+00:00,2026-09-25T15:08:47.811051+00:00,109.006,True,ok
14,2026-09-25T13:39:43.225762+00:00,83,0,83,0,2026-09-25T15:08:48.083067+00:00,2026-09-25T15:08:48.176072+00:00,2026-09-25T15:08:48.176072+00:00,93.00500000000001,True,ok
15,2026-09-25T13:39:43.618555+00:00,83,0,83,0,2026-09-25T15:08:48.490090+00:00,2026-09-25T15:08:48.582095+00:00,2026-09-25T15:08:48.582095+00:00,92.00500000000001,True,ok
16,2026-09-25T13:39:44.029771+00:00,83,0,83,0,2026-09-25T15:08:48.851111+00:00,2026-09-25T15:08:48.944116+00:00,2026-09-25T15:08:48.944116+00:00,93.00500000000001,True,ok
17,2026-09-25T13:39:44.409096+00:00,83,0,83,0,2026-09-25T15:08:49.279135+00:00,2026-09-25T15:08:49.363140+00:00,2026-09-25T15:08:49.363140+00:00,84.005,True,ok
18,2026-09-25T13:39:44.806156+00:00,83,0,83,0,2026-09-25T15:08:49.642156+00:00,2026-09-25T15:08:49.736161+00:00,2026-09-25T15:08:49.736161+00:00,94.00500000000001,True,ok
19,2026-09-25T13:39:45.202886+00:00,83,0,83,0,2026-09-25T15:08:50.035178+00:00,2026-09-25T15:08:50.125183+00:00,2026-09-25T15:08:50.125183+00:00,90.005,True,ok
20,2026-09-25T13:39:45.548370+00:00,83,0,83,0,2026-09-25T15:08:50.421200+00:00,2026-09-25T15:08:50.512206+00:00,2026-09-25T15:08:50.512206+00:00,91.006,True,ok
21,2026-09-25T13:39:45.892557+00:00,83,0,83,0,2026-09-25T15:08:50.766220+00:00,2026-09-25T15:08:50.856225+00:00,2026-09-25T15:08:50.856225+00:00,90.005,True,ok
22,2026-09-25T13:39:46.234863+00:00,83,0,83,0,2026-09-25T15:08:51.110240+00:00,2026-09-25T15:08:51.198245+00:00,2026-09-25T15:08:51.198245+00:00,88.005,True,ok
23,2026-09-25T13:39:46.611889+00:00,83,0,83,0,2026-09-25T15:08:51.458260+00:00,2026-09-25T15:08:51.555265+00:00,2026-09-25T15:08:51.555265+00:00,97.005,True,ok
24,2026-09-25T13:39:47.037189+00:00,83,0,83,0,2026-09-25T15:08:51.862283+00:00,2026-09-25T15:08:51.982290+00:00,2026-09-25T15:08:51.982290+00:00,120.007,True,ok
25,2026-09-25T13:39:47.396829+00:00,83,0,83,0,2026-09-25T15:08:52.258305+00:00,2026-09-25T15:08:52.358311+00:00,2026-09-25T15:08:52.358311+00:00,100.006,True,ok
26,2026-09-25T13:39:47.768011+00:00,83,0,83,0,2026-09-25T15:08:52.635327+00:00,2026-09-25T15:08:52.726332+00:00,2026-09-25T15:08:52.726332+00:00,91.005,True,ok
27,2026-09-25T13:39:48.133456+00:00,83,0,83,0,2026-09-25T15:08:52.999348+00:00,2026-09-25T15:08:53.092353+00:00,2026-09-25T15:08:53.092353+00:00,93.00500000000001,True,ok
28,2026-09-25T13:39:48.558758+00:00,83,0,83,0,2026-09-25T15:08:53.392370+00:00,2026-09-25T15:08:53.485376+00:00,2026-09-25T15:08:53.485376+00:00,93.006,True,ok
